city,nightmarket_name,latitude,longitude,place_id,wt,url
新竹縣,新庄子夜市,24.9013818,120.9844481,ChIJ1W4CLtQzaDQRfCWIKNy8h60,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: 5:00\u2009–\u200911:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",https://maps.google.com/?cid=12504170544176309628
新竹縣,新豐夜市,24.8698462,120.9959279,ChIJv7Vv9FAxaDQRmQkFO9mkmSA,"['Monday: 6:00\u2009–\u200911:00\u202fPM', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: Closed', 'Saturday: Closed', 'Sunday: Closed']",https://maps.google.com/?cid=2349089933555468697
新竹縣,新埔夜市,24.8246838,121.0802843,ChIJpWOvO1M5aDQRZWKW_yxZEuI,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",https://maps.google.com/?cid=16290180851953984101
新竹縣,北埔夜市,24.702826,121.0537167,ChIJWSp2QB9JaDQRWz2dIPYLbys,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: 5:00\u2009–\u200910:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",https://maps.google.com/?cid=3129733417782820187
新竹縣,竹中夜市,24.7809963,121.0322635,ChIJzXcAIzM2aDQRvcslff8M8wA,"['Monday: 5:00\u2009–\u200910:00\u202fPM', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: Closed', 'Saturday: Closed', 'Sunday: Closed']",https://maps.google.com/?cid=68412710796512189
宜蘭縣,羅東夜市,24.6770442,121.7693122,ChIJrw3A9X3mZzQRa6_ZjGQS3Sk,"['Monday: 3:00\u202fPM\u2009–\u200912:00\u202fAM', 'Tuesday: 3:00\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 3:00\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 3:00\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 3:00\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 3:00\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: 3:00\u202fPM\u2009–\u200912:00\u202fAM']",https://maps.google.com/?cid=3016587548477206379
宜蘭縣,東門觀光夜市,24.7021073,121.7377502,ChIJWy8jaz3gZzQRrAfTE55Su88,[],https://maps.google.com/?cid=14968648625386882988
宜蘭縣,員山夜市,24.745015,121.7229172,ChIJ7Z4kK53kZzQRe1xcxXgiCz4,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: 5:30\u2009–\u200910:30\u202fPM', 'Friday: Closed', 'Saturday: Closed', 'Sunday: Closed']",https://maps.google.com/?cid=4470704957197933691
宜蘭縣,冬山夜市,24.6360135,121.79214,ChIJZ1BLYi3mZzQRrLWkGum5ITM,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: Closed', 'Saturday: 6:00\u2009–\u200910:00\u202fPM', 'Sunday: Closed']",https://maps.google.com/?cid=3684430380991296940
宜蘭縣,清溝夜市,24.66399,121.761295,ChIJD_EWDovmZzQRFlbEcXbdCSk,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 6:00\u2009–\u200911:00\u202fPM', 'Thursday: Closed', 'Friday: Closed', 'Saturday: Closed', 'Sunday: Closed']",https://maps.google.com/?cid=2957138131130013206
宜蘭縣,南方澳夜市,24.5844397,121.8650256,ChIJuRYJp3zpZzQRRi2YlMtIDIU,"['Monday: 5:00\u2009–\u20099:00\u202fPM', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: Closed', 'Saturday: Closed', 'Sunday: Closed']",https://maps.google.com/?cid=9587117745973505350
